month,basin,pet
1983-10-01,Caribe,121.74285714285718
1983-11-01,Caribe,114.36
1983-12-01,Caribe,112.29142857142858
1984-01-01,Caribe,124.59428571428572
1984-02-01,Caribe,115.39714285714284
1984-03-01,Caribe,153.74
1984-04-01,Caribe,144.57142857142856
1984-05-01,Caribe,142.39714285714288
1984-06-01,Caribe,121.42857142857144
1984-07-01,Caribe,122.43142857142858
1984-08-01,Caribe,128.3057142857143
1984-09-01,Caribe,129.83714285714285
1984-10-01,Caribe,113.30285714285714
1984-11-01,Caribe,107.24
1984-12-01,Caribe,142.1057142857143
1985-01-01,Caribe,141.55714285714285
1985-02-01,Caribe,147.22000000000003
1985-03-01,Caribe,166.9114285714286
1985-04-01,Caribe,152.0457142857143
1985-05-01,Caribe,130.62000000000003
1985-06-01,Caribe,121.59714285714288
1985-07-01,Caribe,131.06285714285715
1985-08-01,Caribe,130.2342857142857
1985-09-01,Caribe,128.6
1985-10-01,Caribe,115.1314285714286
1985-11-01,Caribe,115.58
1985-12-01,Caribe,117.81714285714288
1986-01-01,Caribe,137.9171428571429
1986-02-01,Caribe,131.20285714285714
1986-03-01,Caribe,160.4657142857143
1986-04-01,Caribe,132.59142857142857
1986-05-01,Caribe,137.05142857142857
1986-06-01,Caribe,131.98857142857145
1986-07-01,Caribe,152.18857142857144
1986-08-01,Caribe,150.06571428571428
1986-09-01,Caribe,133.74571428571429
1986-10-01,Caribe,113.18
1986-11-01,Caribe,120.82
1986-12-01,Caribe,130.0542857142857
1987-01-01,Caribe,137.45999999999998
1987-02-01,Caribe,138.22285714285715
1987-03-01,Caribe,154.88
1987-04-01,Caribe,138.98857142857145
1987-05-01,Caribe,129.86857142857144
1987-06-01,Caribe,136.90571428571428
1987-07-01,Caribe,129.09428571428572
1987-08-01,Caribe,143.89428571428573
1987-09-01,Caribe,133.45428571428573
1987-10-01,Caribe,118.59714285714288
1987-11-01,Caribe,122.49714285714283
1987-12-01,Caribe,127.60571428571428
1988-01-01,Caribe,143.27142857142857
1988-02-01,Caribe,143.0371428571429
1988-03-01,Caribe,182.18857142857144
1988-04-01,Caribe,147.39714285714288
1988-05-01,Caribe,135.7514285714286
1988-06-01,Caribe,117.77714285714283
1988-07-01,Caribe,130.95714285714286
1988-08-01,Caribe,119.50857142857144
